scope,question,question_name,answer,mean_pct,stddev_pct_population,min_pct,max_pct
all_answers,Q1,label_exists,예,92.85 ,2.14 ,87.46 ,95.83 
all_answers,Q1,label_exists,판단불가,2.00 ,1.68 ,0.22 ,7.30 
all_answers,Q1,label_exists,아니오,5.15 ,1.47 ,2.52 ,8.01 
all_answers,Q2,mask_missing,모두 포함함,66.66 ,5.02 ,59.73 ,76.26 
all_answers,Q2,mask_missing,약간 놓침,17.17 ,3.83 ,11.10 ,27.81 
all_answers,Q2,mask_missing,판단불가,6.89 ,2.46 ,1.50 ,12.54 
all_answers,Q2,mask_missing,많이 놓침,9.28 ,3.64 ,4.75 ,18.61 
all_answers,Q3,mask_extra,포함하지 않음,81.98 ,3.96 ,73.76 ,90.04 
all_answers,Q3,mask_extra,약간 포함,8.44 ,2.20 ,4.84 ,12.96 
all_answers,Q3,mask_extra,판단불가,6.93 ,2.48 ,1.34 ,12.47 
all_answers,Q3,mask_extra,많이 포함,2.65 ,2.31 ,0.27 ,9.17 
all_answers,Q4,instance_separation,정확,85.32 ,7.94 ,69.47 ,94.64 
all_answers,Q4,instance_separation,수용 가능,5.32 ,4.50 ,0.22 ,14.34 
all_answers,Q4,instance_separation,판단불가,6.90 ,2.51 ,1.42 ,12.69 
all_answers,Q4,instance_separation,부정확,2.19 ,2.30 ,0.14 ,9.06 
all_answers,Q4,instance_separation,실패,0.28 ,0.51 ,0.00 ,2.29 
all_answers,Q5,mask_quality,정확,73.74 ,10.79 ,51.81 ,94.13 
all_answers,Q5,mask_quality,수용 가능,15.68 ,9.45 ,0.00 ,35.50 
all_answers,Q5,mask_quality,판단불가,6.89 ,2.52 ,1.26 ,12.69 
all_answers,Q5,mask_quality,부정확,3.23 ,2.06 ,0.17 ,8.64 
all_answers,Q5,mask_quality,실패,0.46 ,0.66 ,0.00 ,2.39 
all_answers,Q6,decomposition_nonleaf,없음,91.25 ,6.23 ,71.53 ,98.51 
all_answers,Q6,decomposition_nonleaf,조금 있음,4.80 ,4.57 ,0.25 ,18.75 
all_answers,Q6,decomposition_nonleaf,판단불가,2.65 ,1.60 ,0.22 ,7.05 
all_answers,Q6,decomposition_nonleaf,많이 있음,1.30 ,1.85 ,0.00 ,6.94 
all_answers,Q7,missing_child_nonleaf,없음,89.74 ,9.01 ,63.90 ,98.79 
all_answers,Q7,missing_child_nonleaf,조금 있음,7.16 ,8.02 ,0.00 ,30.03 
all_answers,Q7,missing_child_nonleaf,판단불가,2.51 ,1.32 ,0.22 ,5.80 
all_answers,Q7,missing_child_nonleaf,많이 있음,0.58 ,0.85 ,0.00 ,2.96 
all_answers,Q8,leaf_stop,예,90.13 ,3.93 ,83.04 ,98.59 
all_answers,Q8,leaf_stop,판단불가,8.47 ,3.71 ,0.70 ,16.65 
all_answers,Q8,leaf_stop,아니오,1.40 ,1.38 ,0.00 ,4.43 
q1_yes_only,Q2,mask_missing,모두 포함함,71.73 ,4.69 ,63.16 ,80.92 
q1_yes_only,Q2,mask_missing,약간 놓침,18.49 ,4.12 ,11.92 ,29.44 
q1_yes_only,Q2,mask_missing,판단불가,0.14 ,0.14 ,0.00 ,0.53 
q1_yes_only,Q2,mask_missing,많이 놓침,9.64 ,3.60 ,5.04 ,20.44 
q1_yes_only,Q3,mask_extra,포함하지 않음,88.25 ,3.21 ,81.03 ,93.96 
q1_yes_only,Q3,mask_extra,약간 포함,9.08 ,2.31 ,5.05 ,13.62 
q1_yes_only,Q3,mask_extra,판단불가,0.19 ,0.24 ,0.00 ,0.97 
q1_yes_only,Q3,mask_extra,많이 포함,2.48 ,1.96 ,0.28 ,9.54 
q1_yes_only,Q4,instance_separation,정확,91.43 ,7.32 ,76.31 ,99.47 
q1_yes_only,Q4,instance_separation,수용 가능,5.78 ,4.94 ,0.23 ,15.76 
q1_yes_only,Q4,instance_separation,판단불가,0.14 ,0.28 ,0.00 ,1.32 
q1_yes_only,Q4,instance_separation,부정확,2.37 ,2.51 ,0.16 ,9.96 
q1_yes_only,Q4,instance_separation,실패,0.28 ,0.56 ,0.00 ,2.52 
q1_yes_only,Q5,mask_quality,정확,79.15 ,11.31 ,56.92 ,99.73 
q1_yes_only,Q5,mask_quality,수용 가능,16.82 ,10.17 ,0.00 ,38.99 
q1_yes_only,Q5,mask_quality,판단불가,0.14 ,0.21 ,0.00 ,0.97 
q1_yes_only,Q5,mask_quality,부정확,3.46 ,2.22 ,0.18 ,9.19 
q1_yes_only,Q5,mask_quality,실패,0.43 ,0.71 ,0.00 ,2.54 
q1_yes_only,Q6,decomposition_nonleaf,없음,93.32 ,5.93 ,73.75 ,99.75 
q1_yes_only,Q6,decomposition_nonleaf,조금 있음,4.91 ,4.71 ,0.25 ,19.33 
q1_yes_only,Q6,decomposition_nonleaf,판단불가,0.51 ,0.99 ,0.00 ,3.53 
q1_yes_only,Q6,decomposition_nonleaf,많이 있음,1.26 ,1.86 ,0.00 ,6.92 
q1_yes_only,Q7,missing_child_nonleaf,없음,91.76 ,9.09 ,66.23 ,100.00 
q1_yes_only,Q7,missing_child_nonleaf,조금 있음,7.33 ,8.24 ,0.00 ,31.13 
q1_yes_only,Q7,missing_child_nonleaf,판단불가,0.31 ,0.74 ,0.00 ,3.40 
q1_yes_only,Q7,missing_child_nonleaf,많이 있음,0.59 ,0.87 ,0.00 ,3.00 
q1_yes_only,Q8,leaf_stop,예,98.43 ,1.54 ,95.19 ,100.00 
q1_yes_only,Q8,leaf_stop,판단불가,0.04 ,0.09 ,0.00 ,0.28 
q1_yes_only,Q8,leaf_stop,아니오,1.53 ,1.52 ,0.00 ,4.81 
