scope,reviewer_id,question,question_name,answer,severity,response_count,question_total,ratio,pct,,,,,,
all_answers,user1,Q1,label_exists,예,good,1134,1217,0.93179951,93.18,,,,,,
all_answers,user1,Q1,label_exists,판단불가,soft,37,1217,0.03040263,3.0403,,,,,,
all_answers,user1,Q1,label_exists,아니오,critical,46,1217,0.03779786,3.7798,,,,,,
all_answers,user2,Q1,label_exists,예,good,1150,1258,0.91414944,91.4149,,,,,,
all_answers,user2,Q1,label_exists,판단불가,soft,54,1258,0.04292528,4.2925,,,,,,
all_answers,user2,Q1,label_exists,아니오,critical,54,1258,0.04292528,4.2925,,,,,,
all_answers,user3,Q1,label_exists,예,good,1180,1244,0.94855305,94.8553,,,,,,예
all_answers,user3,Q1,label_exists,판단불가,soft,7,1244,0.00562701,0.5627,,,,,,
all_answers,user3,Q1,label_exists,아니오,critical,57,1244,0.04581994,4.582,,,,,,
all_answers,user4,Q1,label_exists,예,good,1237,1360,0.90955882,90.9559,,,,,,
all_answers,user4,Q1,label_exists,판단불가,soft,40,1360,0.02941176,2.9412,,,,,,
all_answers,user4,Q1,label_exists,아니오,critical,83,1360,0.06102941,6.1029,,,,,,
all_answers,user5,Q1,label_exists,예,good,1069,1157,0.92394123,92.3941,,,,,,
all_answers,user5,Q1,label_exists,판단불가,soft,13,1157,0.01123596,1.1236,,,,,,
all_answers,user5,Q1,label_exists,아니오,critical,75,1157,0.06482282,6.4823,,,,,,
all_answers,user6,Q1,label_exists,예,good,1200,1288,0.93167702,93.1677,,,,,,
all_answers,user6,Q1,label_exists,판단불가,soft,26,1288,0.02018634,2.0186,,,,,,
all_answers,user6,Q1,label_exists,아니오,critical,62,1288,0.04813665,4.8137,,,,,,
all_answers,user7,Q1,label_exists,예,good,1240,1360,0.91176471,91.1765,,,,,,
all_answers,user7,Q1,label_exists,판단불가,soft,11,1360,0.00808824,0.8088,,,,,,
all_answers,user7,Q1,label_exists,아니오,critical,109,1360,0.08014706,8.0147,,,,,,
all_answers,user8,Q1,label_exists,예,good,1077,1124,0.95818505,95.8185,,,,,,
all_answers,user8,Q1,label_exists,판단불가,soft,6,1124,0.00533808,0.5338,,,,,,
all_answers,user8,Q1,label_exists,아니오,critical,41,1124,0.03647687,3.6477,,,,,,
all_answers,user9,Q1,label_exists,예,good,1188,1256,0.94585987,94.586,,,,,,
all_answers,user9,Q1,label_exists,판단불가,soft,30,1256,0.02388535,2.3885,,,,,,
all_answers,user9,Q1,label_exists,아니오,critical,38,1256,0.03025478,3.0255,,,,,,
all_answers,user10,Q1,label_exists,예,good,1169,1242,0.94122383,94.1224,,,,,,
all_answers,user10,Q1,label_exists,판단불가,soft,14,1242,0.01127214,1.1272,,,,,,
all_answers,user10,Q1,label_exists,아니오,critical,59,1242,0.04750403,4.7504,,,,,,
all_answers,user11,Q1,label_exists,예,good,1234,1411,0.87455705,87.4557,,,,,,
all_answers,user11,Q1,label_exists,판단불가,soft,103,1411,0.07299787,7.2998,,,,,,
all_answers,user11,Q1,label_exists,아니오,critical,74,1411,0.05244507,5.2445,,,,,,
all_answers,user12,Q1,label_exists,예,good,1229,1304,0.94248466,94.2485,,,,,,
all_answers,user12,Q1,label_exists,판단불가,soft,18,1304,0.01380368,1.3804,,,,,,
all_answers,user12,Q1,label_exists,아니오,critical,57,1304,0.04371166,4.3712,,,,,,
all_answers,user13,Q1,label_exists,예,good,1125,1192,0.94379195,94.3792,,,,,,
all_answers,user13,Q1,label_exists,판단불가,soft,37,1192,0.03104027,3.104,,,,,,
all_answers,user13,Q1,label_exists,아니오,critical,30,1192,0.02516779,2.5168,,,,,,
all_answers,user14,Q1,label_exists,예,good,1284,1382,0.92908828,92.9088,,,,,,
all_answers,user14,Q1,label_exists,판단불가,soft,8,1382,0.00578871,0.5789,,,,,,
all_answers,user14,Q1,label_exists,아니오,critical,90,1382,0.06512301,6.5123,,,,,,
all_answers,user15,Q1,label_exists,예,good,1219,1296,0.94058642,94.0586,,,,,,
all_answers,user15,Q1,label_exists,판단불가,soft,13,1296,0.01003086,1.0031,,,,,,
all_answers,user15,Q1,label_exists,아니오,critical,64,1296,0.04938272,4.9383,,,,,,
all_answers,user16,Q1,label_exists,예,good,1165,1265,0.92094862,92.0949,,,,,,
all_answers,user16,Q1,label_exists,판단불가,soft,9,1265,0.00711462,0.7115,,,,,,
all_answers,user16,Q1,label_exists,아니오,critical,91,1265,0.07193676,7.1937,,,,,,
all_answers,user17,Q1,label_exists,예,good,954,1048,0.91030534,91.0305,,,,,,
all_answers,user17,Q1,label_exists,판단불가,soft,24,1048,0.02290076,2.2901,,,,,,
all_answers,user17,Q1,label_exists,아니오,critical,70,1048,0.06679389,6.6794,,,,,,
all_answers,user18,Q1,label_exists,예,good,1288,1344,0.95833333,95.8333,,,,,,
all_answers,user18,Q1,label_exists,판단불가,soft,3,1344,0.00223214,0.2232,,,,,,
all_answers,user18,Q1,label_exists,아니오,critical,53,1344,0.03943452,3.9435,,,,,,
all_answers,user19,Q1,label_exists,예,good,1379,1460,0.94452055,94.4521,,,,,,
all_answers,user19,Q1,label_exists,판단불가,soft,12,1460,0.00821918,0.8219,,,,,,
all_answers,user19,Q1,label_exists,아니오,critical,69,1460,0.04726027,4.726,,,,,,
all_answers,user20,Q1,label_exists,예,good,1062,1194,0.88944724,88.9447,,,,,,
all_answers,user20,Q1,label_exists,판단불가,soft,45,1194,0.03768844,3.7688,,,,,,
all_answers,user20,Q1,label_exists,아니오,critical,87,1194,0.07286432,7.2864,,,,,,
all_answers,user1,Q2,mask_missing,모두 포함함,good,821,1217,0.6746097,67.461,,,,,,
all_answers,user1,Q2,mask_missing,약간 놓침,soft,213,1217,0.17502054,17.5021,,,,,,
all_answers,user1,Q2,mask_missing,판단불가,soft,86,1217,0.07066557,7.0666,,,,,,
all_answers,user1,Q2,mask_missing,많이 놓침,critical,97,1217,0.07970419,7.9704,,,,,,
all_answers,user2,Q2,mask_missing,모두 포함함,good,752,1258,0.59777424,59.7774,,,,,,
all_answers,user2,Q2,mask_missing,약간 놓침,soft,241,1258,0.19157393,19.1574,,,,,,
all_answers,user2,Q2,mask_missing,판단불가,soft,111,1258,0.08823529,8.8235,,,,,,
all_answers,user2,Q2,mask_missing,많이 놓침,critical,154,1258,0.12241653,12.2417,,,,,,
all_answers,user3,Q2,mask_missing,모두 포함함,good,847,1244,0.68086817,68.0868,,,,,,
all_answers,user3,Q2,mask_missing,약간 놓침,soft,248,1244,0.19935691,19.9357,,,,,,
all_answers,user3,Q2,mask_missing,판단불가,soft,67,1244,0.05385852,5.3859,,,,,,
all_answers,user3,Q2,mask_missing,많이 놓침,critical,82,1244,0.0659164,6.5916,,,,,,
all_answers,user4,Q2,mask_missing,모두 포함함,good,828,1360,0.60882353,60.8824,,,,,,
all_answers,user4,Q2,mask_missing,약간 놓침,soft,270,1360,0.19852941,19.8529,,,,,,
all_answers,user4,Q2,mask_missing,판단불가,soft,123,1360,0.09044118,9.0441,,,,,,
all_answers,user4,Q2,mask_missing,많이 놓침,critical,139,1360,0.10220588,10.2206,,,,,,
all_answers,user5,Q2,mask_missing,모두 포함함,good,793,1157,0.68539326,68.5393,,,,,,
all_answers,user5,Q2,mask_missing,약간 놓침,soft,136,1157,0.11754538,11.7545,,,,,,
all_answers,user5,Q2,mask_missing,판단불가,soft,91,1157,0.07865169,7.8652,,,,,,
all_answers,user5,Q2,mask_missing,많이 놓침,critical,137,1157,0.11840968,11.841,,,,,,
all_answers,user6,Q2,mask_missing,모두 포함함,good,971,1288,0.75388199,75.3882,,,,,,
all_answers,user6,Q2,mask_missing,약간 놓침,soft,143,1288,0.11102484,11.1025,,,,,,
all_answers,user6,Q2,mask_missing,판단불가,soft,91,1288,0.07065217,7.0652,,,,,,
all_answers,user6,Q2,mask_missing,많이 놓침,critical,83,1288,0.06444099,6.4441,,,,,,
all_answers,user7,Q2,mask_missing,모두 포함함,good,946,1360,0.69558824,69.5588,,,,,,
all_answers,user7,Q2,mask_missing,약간 놓침,soft,207,1360,0.15220588,15.2206,,,,,,
all_answers,user7,Q2,mask_missing,판단불가,soft,116,1360,0.08529412,8.5294,,,,,,
all_answers,user7,Q2,mask_missing,많이 놓침,critical,91,1360,0.06691176,6.6912,,,,,,
all_answers,user8,Q2,mask_missing,모두 포함함,good,791,1124,0.70373665,70.3737,,,,,,
all_answers,user8,Q2,mask_missing,약간 놓침,soft,182,1124,0.16192171,16.1922,,,,,,
all_answers,user8,Q2,mask_missing,판단불가,soft,48,1124,0.04270463,4.2705,,,,,,
all_answers,user8,Q2,mask_missing,많이 놓침,critical,103,1124,0.09163701,9.1637,,,,,,
all_answers,user9,Q2,mask_missing,모두 포함함,good,867,1256,0.69028662,69.0287,,,,,,
all_answers,user9,Q2,mask_missing,약간 놓침,soft,252,1256,0.20063694,20.0637,,,,,,
all_answers,user9,Q2,mask_missing,판단불가,soft,67,1256,0.05334395,5.3344,,,,,,
all_answers,user9,Q2,mask_missing,많이 놓침,critical,70,1256,0.05573248,5.5732,,,,,,
all_answers,user10,Q2,mask_missing,모두 포함함,good,786,1242,0.63285024,63.285,,,,,,
all_answers,user10,Q2,mask_missing,약간 놓침,soft,205,1242,0.16505636,16.5056,,,,,,
all_answers,user10,Q2,mask_missing,판단불가,soft,74,1242,0.05958132,5.9581,,,,,,
all_answers,user10,Q2,mask_missing,많이 놓침,critical,177,1242,0.14251208,14.2512,,,,,,
all_answers,user11,Q2,mask_missing,모두 포함함,good,897,1411,0.63571935,63.5719,,,,,,
all_answers,user11,Q2,mask_missing,약간 놓침,soft,242,1411,0.17150957,17.151,,,,,,
all_answers,user11,Q2,mask_missing,판단불가,soft,177,1411,0.12544295,12.5443,,,,,,
all_answers,user11,Q2,mask_missing,많이 놓침,critical,95,1411,0.06732814,6.7328,,,,,,
all_answers,user12,Q2,mask_missing,모두 포함함,good,915,1304,0.70168712,70.1687,,,,,,
all_answers,user12,Q2,mask_missing,약간 놓침,soft,252,1304,0.19325153,19.3252,,,,,,
all_answers,user12,Q2,mask_missing,판단불가,soft,75,1304,0.05751534,5.7515,,,,,,
all_answers,user12,Q2,mask_missing,많이 놓침,critical,62,1304,0.04754601,4.7546,,,,,,
all_answers,user13,Q2,mask_missing,모두 포함함,good,882,1192,0.73993289,73.9933,,,,,,
all_answers,user13,Q2,mask_missing,약간 놓침,soft,141,1192,0.11828859,11.8289,,,,,,
all_answers,user13,Q2,mask_missing,판단불가,soft,69,1192,0.05788591,5.7886,,,,,,
all_answers,user13,Q2,mask_missing,많이 놓침,critical,100,1192,0.08389262,8.3893,,,,,,
all_answers,user14,Q2,mask_missing,모두 포함함,good,911,1382,0.65918958,65.919,,,,,,
all_answers,user14,Q2,mask_missing,약간 놓침,soft,249,1382,0.18017366,18.0174,,,,,,
all_answers,user14,Q2,mask_missing,판단불가,soft,99,1382,0.07163531,7.1635,,,,,,
all_answers,user14,Q2,mask_missing,많이 놓침,critical,123,1382,0.08900145,8.9001,,,,,,
all_answers,user15,Q2,mask_missing,모두 포함함,good,861,1296,0.66435185,66.4352,,,,,,
all_answers,user15,Q2,mask_missing,약간 놓침,soft,219,1296,0.16898148,16.8981,,,,,,
all_answers,user15,Q2,mask_missing,판단불가,soft,75,1296,0.05787037,5.787,,,,,,
all_answers,user15,Q2,mask_missing,많이 놓침,critical,141,1296,0.1087963,10.8796,,,,,,
all_answers,user16,Q2,mask_missing,모두 포함함,good,806,1265,0.63715415,63.7154,,,,,,
all_answers,user16,Q2,mask_missing,약간 놓침,soft,235,1265,0.18577075,18.5771,,,,,,
all_answers,user16,Q2,mask_missing,판단불가,soft,19,1265,0.01501976,1.502,,,,,,
all_answers,user16,Q2,mask_missing,많이 놓침,critical,205,1265,0.16205534,16.2055,,,,,,
all_answers,user17,Q2,mask_missing,모두 포함함,good,629,1048,0.60019084,60.0191,,,,,,
all_answers,user17,Q2,mask_missing,약간 놓침,soft,130,1048,0.1240458,12.4046,,,,,,
all_answers,user17,Q2,mask_missing,판단불가,soft,94,1048,0.08969466,8.9695,,,,,,
all_answers,user17,Q2,mask_missing,많이 놓침,critical,195,1048,0.1860687,18.6069,,,,,,
all_answers,user18,Q2,mask_missing,모두 포함함,good,1025,1344,0.76264881,76.2649,,,,,,
all_answers,user18,Q2,mask_missing,약간 놓침,soft,184,1344,0.13690476,13.6905,,,,,,
all_answers,user18,Q2,mask_missing,판단불가,soft,56,1344,0.04166667,4.1667,,,,,,
all_answers,user18,Q2,mask_missing,많이 놓침,critical,79,1344,0.05877976,5.878,,,,,,
all_answers,user19,Q2,mask_missing,모두 포함함,good,872,1460,0.59726027,59.726,,,,,,
all_answers,user19,Q2,mask_missing,약간 놓침,soft,406,1460,0.27808219,27.8082,,,,,,
all_answers,user19,Q2,mask_missing,판단불가,soft,83,1460,0.05684932,5.6849,,,,,,
all_answers,user19,Q2,mask_missing,많이 놓침,critical,99,1460,0.06780822,6.7808,,,,,,
all_answers,user20,Q2,mask_missing,모두 포함함,good,728,1194,0.60971524,60.9715,,,,,,
all_answers,user20,Q2,mask_missing,약간 놓침,soft,243,1194,0.20351759,20.3518,,,,,,
all_answers,user20,Q2,mask_missing,판단불가,soft,133,1194,0.11139028,11.139,,,,,,
all_answers,user20,Q2,mask_missing,많이 놓침,critical,90,1194,0.07537688,7.5377,,,,,,
all_answers,user1,Q3,mask_extra,포함하지 않음,good,979,1217,0.80443714,80.4437,,,,,,
all_answers,user1,Q3,mask_extra,약간 포함,soft,128,1217,0.10517666,10.5177,,,,,,
all_answers,user1,Q3,mask_extra,판단불가,soft,92,1217,0.07559573,7.5596,,,,,,
all_answers,user1,Q3,mask_extra,많이 포함,critical,18,1217,0.01479047,1.479,,,,,,
all_answers,user2,Q3,mask_extra,포함하지 않음,good,1019,1258,0.8100159,81.0016,,,,,,
all_answers,user2,Q3,mask_extra,약간 포함,soft,100,1258,0.07949126,7.9491,,,,,,
all_answers,user2,Q3,mask_extra,판단불가,soft,109,1258,0.08664547,8.6645,,,,,,
all_answers,user2,Q3,mask_extra,많이 포함,critical,30,1258,0.02384738,2.3847,,,,,,
all_answers,user3,Q3,mask_extra,포함하지 않음,good,1053,1244,0.84646302,84.6463,,,,,,
all_answers,user3,Q3,mask_extra,약간 포함,soft,109,1244,0.08762058,8.7621,,,,,,
all_answers,user3,Q3,mask_extra,판단불가,soft,66,1244,0.05305466,5.3055,,,,,,
all_answers,user3,Q3,mask_extra,많이 포함,critical,16,1244,0.01286174,1.2862,,,,,,
all_answers,user4,Q3,mask_extra,포함하지 않음,good,1044,1360,0.76764706,76.7647,,,,,,
all_answers,user4,Q3,mask_extra,약간 포함,soft,132,1360,0.09705882,9.7059,,,,,,
all_answers,user4,Q3,mask_extra,판단불가,soft,127,1360,0.09338235,9.3382,,,,,,
all_answers,user4,Q3,mask_extra,많이 포함,critical,57,1360,0.04191176,4.1912,,,,,,
all_answers,user5,Q3,mask_extra,포함하지 않음,good,914,1157,0.78997407,78.9974,,,,,,
all_answers,user5,Q3,mask_extra,약간 포함,soft,97,1157,0.08383751,8.3838,,,,,,
all_answers,user5,Q3,mask_extra,판단불가,soft,92,1157,0.07951599,7.9516,,,,,,
all_answers,user5,Q3,mask_extra,많이 포함,critical,54,1157,0.04667243,4.6672,,,,,,
all_answers,user6,Q3,mask_extra,포함하지 않음,good,1104,1288,0.85714286,85.7143,,,,,,
all_answers,user6,Q3,mask_extra,약간 포함,soft,82,1288,0.0636646,6.3665,,,,,,
all_answers,user6,Q3,mask_extra,판단불가,soft,88,1288,0.06832298,6.8323,,,,,,
all_answers,user6,Q3,mask_extra,많이 포함,critical,14,1288,0.01086957,1.087,,,,,,
all_answers,user7,Q3,mask_extra,포함하지 않음,good,1116,1360,0.82058824,82.0588,,,,,,
all_answers,user7,Q3,mask_extra,약간 포함,soft,106,1360,0.07794118,7.7941,,,,,,
all_answers,user7,Q3,mask_extra,판단불가,soft,118,1360,0.08676471,8.6765,,,,,,
all_answers,user7,Q3,mask_extra,많이 포함,critical,20,1360,0.01470588,1.4706,,,,,,
all_answers,user8,Q3,mask_extra,포함하지 않음,good,1012,1124,0.90035587,90.0356,,,,,,
all_answers,user8,Q3,mask_extra,약간 포함,soft,61,1124,0.05427046,5.427,,,,,,
all_answers,user8,Q3,mask_extra,판단불가,soft,48,1124,0.04270463,4.2705,,,,,,
all_answers,user8,Q3,mask_extra,많이 포함,critical,3,1124,0.00266904,0.2669,,,,,,
all_answers,user9,Q3,mask_extra,포함하지 않음,good,1020,1256,0.81210191,81.2102,,,,,,
all_answers,user9,Q3,mask_extra,약간 포함,soft,149,1256,0.11863057,11.8631,,,,,,
all_answers,user9,Q3,mask_extra,판단불가,soft,68,1256,0.05414013,5.414,,,,,,
all_answers,user9,Q3,mask_extra,많이 포함,critical,19,1256,0.01512739,1.5127,,,,,,
all_answers,user10,Q3,mask_extra,포함하지 않음,good,1041,1242,0.83816425,83.8164,,,,,,
all_answers,user10,Q3,mask_extra,약간 포함,soft,101,1242,0.08132045,8.132,,,,,,
all_answers,user10,Q3,mask_extra,판단불가,soft,78,1242,0.06280193,6.2802,,,,,,
all_answers,user10,Q3,mask_extra,많이 포함,critical,22,1242,0.01771337,1.7713,,,,,,
all_answers,user11,Q3,mask_extra,포함하지 않음,good,1108,1411,0.78525868,78.5259,,,,,,
all_answers,user11,Q3,mask_extra,약간 포함,soft,95,1411,0.06732814,6.7328,,,,,,
all_answers,user11,Q3,mask_extra,판단불가,soft,176,1411,0.12473423,12.4734,,,,,,
all_answers,user11,Q3,mask_extra,많이 포함,critical,32,1411,0.02267895,2.2679,,,,,,
all_answers,user12,Q3,mask_extra,포함하지 않음,good,1064,1304,0.81595092,81.5951,,,,,,
all_answers,user12,Q3,mask_extra,약간 포함,soft,138,1304,0.10582822,10.5828,,,,,,
all_answers,user12,Q3,mask_extra,판단불가,soft,75,1304,0.05751534,5.7515,,,,,,
all_answers,user12,Q3,mask_extra,많이 포함,critical,27,1304,0.02070552,2.0706,,,,,,
all_answers,user13,Q3,mask_extra,포함하지 않음,good,1028,1192,0.86241611,86.2416,,,,,,
all_answers,user13,Q3,mask_extra,약간 포함,soft,64,1192,0.05369128,5.3691,,,,,,
all_answers,user13,Q3,mask_extra,판단불가,soft,68,1192,0.05704698,5.7047,,,,,,
all_answers,user13,Q3,mask_extra,많이 포함,critical,32,1192,0.02684564,2.6846,,,,,,
all_answers,user14,Q3,mask_extra,포함하지 않음,good,1155,1382,0.8357453,83.5745,,,,,,
all_answers,user14,Q3,mask_extra,약간 포함,soft,113,1382,0.08176556,8.1766,,,,,,
all_answers,user14,Q3,mask_extra,판단불가,soft,98,1382,0.07091172,7.0912,,,,,,
all_answers,user14,Q3,mask_extra,많이 포함,critical,16,1382,0.01157742,1.1577,,,,,,
all_answers,user15,Q3,mask_extra,포함하지 않음,good,1033,1296,0.7970679,79.7068,,,,,,
all_answers,user15,Q3,mask_extra,약간 포함,soft,168,1296,0.12962963,12.963,,,,,,
all_answers,user15,Q3,mask_extra,판단불가,soft,75,1296,0.05787037,5.787,,,,,,
all_answers,user15,Q3,mask_extra,많이 포함,critical,20,1296,0.0154321,1.5432,,,,,,
all_answers,user16,Q3,mask_extra,포함하지 않음,good,1049,1265,0.82924901,82.9249,,,,,,
all_answers,user16,Q3,mask_extra,약간 포함,soft,83,1265,0.06561265,6.5613,,,,,,
all_answers,user16,Q3,mask_extra,판단불가,soft,17,1265,0.01343874,1.3439,,,,,,
all_answers,user16,Q3,mask_extra,많이 포함,critical,116,1265,0.0916996,9.17,,,,,,
all_answers,user17,Q3,mask_extra,포함하지 않음,good,773,1048,0.73759542,73.7595,,,,,,
all_answers,user17,Q3,mask_extra,약간 포함,soft,89,1048,0.08492366,8.4924,,,,,,
all_answers,user17,Q3,mask_extra,판단불가,soft,95,1048,0.09064885,9.0649,,,,,,
all_answers,user17,Q3,mask_extra,많이 포함,critical,91,1048,0.08683206,8.6832,,,,,,
all_answers,user18,Q3,mask_extra,포함하지 않음,good,1207,1344,0.89806548,89.8065,,,,,,
all_answers,user18,Q3,mask_extra,약간 포함,soft,65,1344,0.0483631,4.8363,,,,,,
all_answers,user18,Q3,mask_extra,판단불가,soft,56,1344,0.04166667,4.1667,,,,,,
all_answers,user18,Q3,mask_extra,많이 포함,critical,16,1344,0.01190476,1.1905,,,,,,
all_answers,user19,Q3,mask_extra,포함하지 않음,good,1177,1460,0.80616438,80.6164,,,,,,
all_answers,user19,Q3,mask_extra,약간 포함,soft,171,1460,0.11712329,11.7123,,,,,,
all_answers,user19,Q3,mask_extra,판단불가,soft,83,1460,0.05684932,5.6849,,,,,,
all_answers,user19,Q3,mask_extra,많이 포함,critical,29,1460,0.01986301,1.9863,,,,,,
all_answers,user20,Q3,mask_extra,포함하지 않음,good,934,1194,0.78224456,78.2245,,,,,,
all_answers,user20,Q3,mask_extra,약간 포함,soft,102,1194,0.08542714,8.5427,,,,,,
all_answers,user20,Q3,mask_extra,판단불가,soft,133,1194,0.11139028,11.139,,,,,,
all_answers,user20,Q3,mask_extra,많이 포함,critical,25,1194,0.02093802,2.0938,,,,,,
all_answers,user1,Q4,instance_separation,정확,good,948,1217,0.77896467,77.8965,,,,,,
all_answers,user1,Q4,instance_separation,수용 가능,soft,115,1217,0.09449466,9.4495,,,,,,
all_answers,user1,Q4,instance_separation,판단불가,soft,97,1217,0.07970419,7.9704,,,,,,
all_answers,user1,Q4,instance_separation,부정확,critical,55,1217,0.0451931,4.5193,,,,,,
all_answers,user1,Q4,instance_separation,실패,critical,2,1217,0.00164339,0.1643,,,,,,
all_answers,user2,Q4,instance_separation,정확,good,1073,1258,0.85294118,85.2941,,,,,,
all_answers,user2,Q4,instance_separation,수용 가능,soft,68,1258,0.05405405,5.4054,,,,,,
all_answers,user2,Q4,instance_separation,판단불가,soft,107,1258,0.08505564,8.5056,,,,,,
all_answers,user2,Q4,instance_separation,부정확,critical,7,1258,0.00556439,0.5564,,,,,,
all_answers,user2,Q4,instance_separation,실패,critical,3,1258,0.00238474,0.2385,,,,,,
all_answers,user3,Q4,instance_separation,정확,good,1154,1244,0.92765273,92.7653,,,,,,
all_answers,user3,Q4,instance_separation,수용 가능,soft,20,1244,0.01607717,1.6077,,,,,,
all_answers,user3,Q4,instance_separation,판단불가,soft,64,1244,0.05144695,5.1447,,,,,,
all_answers,user3,Q4,instance_separation,부정확,critical,6,1244,0.00482315,0.4823,,,,,,
all_answers,user3,Q4,instance_separation,실패,critical,0,1244,0,0,,,,,,
all_answers,user4,Q4,instance_separation,정확,good,957,1360,0.70367647,70.3676,,,,,,
all_answers,user4,Q4,instance_separation,수용 가능,soft,195,1360,0.14338235,14.3382,,,,,,
all_answers,user4,Q4,instance_separation,판단불가,soft,124,1360,0.09117647,9.1176,,,,,,
all_answers,user4,Q4,instance_separation,부정확,critical,76,1360,0.05588235,5.5882,,,,,,
all_answers,user4,Q4,instance_separation,실패,critical,8,1360,0.00588235,0.5882,,,,,,
all_answers,user5,Q4,instance_separation,정확,good,959,1157,0.82886776,82.8868,,,,,,
all_answers,user5,Q4,instance_separation,수용 가능,soft,63,1157,0.05445117,5.4451,,,,,,
all_answers,user5,Q4,instance_separation,판단불가,soft,90,1157,0.07778738,7.7787,,,,,,
