label,node_rows,image_count,reviewer_count,q1_no_pct,q1_uncertain_pct,critical_nodes_all,critical_rate_all_pct,critical_share_of_dataset_pct,any_issue_rate_all_pct,critical_rate_q1_yes_pct,any_issue_rate_q1_yes_pct,avg_depth,avg_bbox_pct,top_critical_questions
tree,343,252,20,1.46,0.58,155,45.19,3.0,80.17,44.64,79.76,1.4257,28.5182,Q2:132|Q5:20|Q4:14|Q8:7|Q1:5
head,675,565,20,1.78,0.74,130,19.26,2.51,51.56,17.93,50.3,2.1289,13.0669,Q5:52|Q2:45|Q8:22|Q1:12|Q7:11
leg,555,430,20,1.8,0.36,128,23.06,2.47,60.72,21.73,59.85,2.2595,14.1161,Q2:58|Q4:35|Q5:21|Q8:11|Q1:10
wall,491,409,20,3.46,1.22,109,22.2,2.11,60.08,19.66,58.12,1.558,38.9765,Q2:63|Q5:27|Q1:17|Q4:11|Q3:9
frame,237,188,20,10.97,1.69,107,45.15,2.07,81.01,39.13,78.26,2.4473,13.3222,Q5:47|Q3:32|Q2:30|Q1:26|Q4:8
window,423,262,20,3.31,3.55,88,20.8,1.7,58.39,18.78,55.33,2.253,13.9921,Q2:48|Q4:17|Q5:15|Q1:14|Q3:8
post,269,204,20,9.29,2.6,77,28.62,1.49,68.03,21.94,63.71,2.2454,15.5553,Q2:48|Q1:25|Q5:12|Q3:7|Q4:3
arm,379,341,20,1.06,1.58,70,18.47,1.35,58.58,17.89,57.45,2.1319,14.6178,Q2:32|Q4:17|Q8:10|Q5:7|Q3:7
sleeve,393,322,20,3.56,0.51,69,17.56,1.33,55.47,14.59,53.58,3.0585,13.0308,Q2:34|Q1:14|Q5:11|Q3:10|Q4:6
leaf,124,94,20,4.03,4.03,68,54.84,1.31,89.52,55.26,88.6,2.2097,17.8594,Q2:61|Q1:5|Q5:5|Q4:4
door,253,196,20,8.7,3.56,60,23.72,1.16,57.31,17.12,51.35,2.1107,14.3594,Q1:22|Q5:15|Q3:15|Q2:12|Q4:5
palm,103,95,20,42.72,1.94,58,56.31,1.12,86.41,24.56,75.44,3.5049,4.3448,Q1:44|Q3:11|Q4:6|Q5:6|Q2:4
fence,180,143,20,8.33,2.78,56,31.11,1.08,71.11,25.62,67.5,1.4333,26.5268,Q5:22|Q2:19|Q1:15|Q3:10|Q4:8
finger,230,191,20,0.87,0.87,53,23.04,1.02,67.83,22.57,67.26,3.4783,8.4488,Q2:34|Q4:20|Q5:7|Q3:6|Q8:3
building,215,170,20,2.33,0.93,52,24.19,1.0,65.12,22.6,63.94,1.4744,26.9766,Q2:31|Q5:13|Q4:11|Q1:5|Q3:3
mouth,201,189,20,8.46,1.0,51,25.37,0.99,60.2,18.68,56.04,3.2488,2.1027,Q2:18|Q1:17|Q5:9|Q3:6|Q8:4
grass,238,202,20,2.52,1.26,51,21.43,0.99,57.98,19.65,56.33,1.5966,37.8028,Q2:32|Q5:17|Q4:8|Q1:6|Q3:5
person,432,406,20,2.78,0.69,51,11.81,0.99,40.05,9.35,37.89,1.125,37.5767,Q2:16|Q1:12|Q4:10|Q5:10|Q3:8
hand,382,326,20,1.57,1.31,46,12.04,0.89,48.17,10.78,46.63,2.5812,11.6867,Q2:16|Q3:12|Q4:7|Q1:6|Q5:6
tail,152,146,20,17.76,3.95,45,29.61,0.87,59.87,15.13,48.74,2.0987,5.6001,Q1:27|Q2:9|Q3:7|Q5:6|Q8:1
handle,243,173,20,9.05,2.47,44,18.11,0.85,49.38,9.77,42.79,2.3045,7.7354,Q1:22|Q2:16|Q3:7|Q5:7|Q4:6
ear,334,305,20,2.99,1.5,42,12.57,0.81,46.11,10.03,43.57,2.976,5.1705,Q2:21|Q1:10|Q4:5|Q3:5|Q5:4
roof,214,154,20,3.74,0.93,38,17.76,0.73,57.01,14.71,54.9,2.271,8.308,Q2:18|Q1:8|Q4:6|Q5:5|Q3:3
collar,148,140,20,14.86,3.38,36,24.32,0.7,62.16,11.57,53.72,2.973,3.9772,Q1:22|Q2:6|Q5:5|Q3:4|Q4:4
trunk,176,138,20,2.27,1.7,36,20.45,0.7,61.93,18.93,60.36,2.2273,11.9904,Q2:28|Q1:4|Q5:3|Q4:3|Q6:2
eye,224,211,20,4.46,0.89,36,16.07,0.7,49.11,12.26,46.23,3.1161,1.6175,Q2:18|Q1:10|Q3:6|Q5:3|Q8:2
branch,68,60,20,2.94,1.47,35,51.47,0.68,79.41,50.77,78.46,2.2353,11.5626,Q2:33|Q5:3|Q1:2|Q6:1|Q3:1
waistband,79,74,20,27.85,5.06,35,44.3,0.68,78.48,24.53,67.92,3.0253,3.4672,Q1:22|Q5:8|Q2:6|Q3:2|Q4:1
cheek,169,160,20,5.33,0.59,35,20.71,0.68,63.31,16.35,61.01,3.3195,2.5208,Q2:20|Q1:9|Q4:5|Q5:3|Q3:2
face,227,203,20,3.96,1.32,34,14.98,0.66,49.34,11.63,46.51,2.9868,10.4395,Q2:12|Q1:9|Q8:8|Q5:4|Q3:2
foliage,89,82,20,3.37,1.12,33,37.08,0.64,76.4,35.29,75.29,2.191,21.4707,Q2:27|Q5:7|Q4:4|Q1:3|Q3:1
panel,126,111,20,8.73,7.14,33,26.19,0.64,65.08,20.75,58.49,2.619,16.2033,Q2:14|Q1:11|Q3:7|Q5:5|Q4:2
sky,288,263,20,1.39,1.04,33,11.46,0.64,38.54,10.32,37.01,1.1528,37.5442,Q2:15|Q5:14|Q8:4|Q1:4|Q3:3
cloud,82,81,20,9.76,2.44,32,39.02,0.62,79.27,33.33,76.39,2.0488,23.3196,Q2:21|Q1:8|Q5:4|Q4:3|Q3:2
base,163,140,20,9.82,2.45,32,19.63,0.62,46.01,11.19,38.46,2.2822,4.067,Q1:16|Q5:8|Q2:7|Q4:3|Q3:2
shirt,262,242,20,0.76,0.38,32,12.21,0.62,35.11,11.58,34.36,2.0649,19.7973,Q2:15|Q3:6|Q8:5|Q5:4|Q4:3
pocket,139,126,20,15.83,6.47,31,22.3,0.6,57.55,8.33,45.37,2.9496,3.0594,Q1:22|Q4:5|Q2:2|Q5:2|Q3:1
forearm,185,180,20,0.54,0.0,31,16.76,0.6,61.08,16.3,60.87,3.0324,10.7398,Q2:19|Q3:9|Q4:4|Q5:4|Q8:2
thigh,91,87,20,7.69,0.0,30,32.97,0.58,79.12,27.38,77.38,3.2308,8.8299,Q2:17|Q1:7|Q5:4|Q3:3|Q4:3
letter,99,85,20,0.0,1.01,30,30.3,0.58,72.73,30.61,72.45,3.4848,7.6597,Q2:26|Q5:5|Q6:1
foot,127,118,20,3.15,0.79,30,23.62,0.58,56.69,21.31,54.92,2.378,8.8138,Q2:13|Q3:7|Q4:6|Q5:5|Q1:4
sign,232,175,20,4.74,3.02,30,12.93,0.58,46.98,8.88,42.52,1.7155,15.033,Q1:11|Q2:8|Q3:4|Q8:3|Q6:1
hair,271,252,20,0.74,0.37,30,11.07,0.58,41.7,10.45,41.04,3.0295,10.6925,Q2:19|Q5:9|Q4:4|Q1:2|Q3:1
pane,143,108,20,2.1,2.8,29,20.28,0.56,60.84,19.12,58.82,3.0629,14.5848,Q2:23|Q1:3|Q4:2|Q6:1
neck,176,169,20,3.41,1.7,29,16.48,0.56,50.57,13.77,47.9,2.1875,7.0621,Q2:11|Q5:6|Q4:6|Q1:6|Q3:2
knee,90,85,20,6.67,1.11,28,31.11,0.54,75.56,26.51,73.49,3.1889,5.5919,Q2:18|Q1:6|Q3:4|Q4:3|Q8:1
shelf,84,68,19,13.1,7.14,27,32.14,0.52,65.48,23.88,56.72,1.9167,11.0099,Q1:11|Q2:7|Q5:7|Q3:6|Q4:1
stem,72,63,19,5.56,0.0,26,36.11,0.5,66.67,32.35,64.71,2.25,8.3125,Q2:20|Q1:4|Q5:3|Q4:2|Q3:1
railing,91,77,19,12.09,4.4,26,28.57,0.5,74.73,19.74,69.74,2.0,15.6237,Q1:11|Q2:8|Q3:6|Q4:5|Q5:5
pole,152,133,20,3.29,1.32,26,17.11,0.5,52.63,14.48,50.34,1.5197,22.1124,Q2:14|Q5:7|Q1:5|Q4:3|Q3:1
wrist,79,77,20,5.06,0.0,25,31.65,0.48,58.23,28.0,56.0,3.0759,3.4753,Q2:15|Q1:4|Q5:2|Q4:2|Q8:1
cuff,89,74,19,15.73,3.37,25,28.09,0.48,71.91,15.28,65.28,3.7079,7.5647,Q1:14|Q2:8|Q5:3|Q3:3|Q4:1
strap,86,69,20,11.63,3.49,24,27.91,0.46,63.95,19.18,57.53,2.5233,6.2428,Q2:13|Q1:10|Q5:2|Q3:2|Q4:2
rock,70,54,20,5.71,1.43,23,32.86,0.44,67.14,29.23,64.62,1.6143,21.3113,Q2:19|Q1:4|Q3:1|Q4:1|Q5:1
torso,83,81,20,1.2,6.02,23,27.71,0.44,57.83,28.57,54.55,2.1928,3.8872,Q2:18|Q5:6|Q4:3|Q8:2|Q1:1
seat,89,84,20,6.74,3.37,23,25.84,0.44,55.06,21.25,50.0,2.0225,12.9969,Q5:8|Q3:7|Q1:6|Q2:4|Q8:2
ground,118,111,20,1.69,0.85,23,19.49,0.44,50.85,18.26,49.57,1.2627,34.1944,Q5:10|Q2:10|Q4:3|Q3:2|Q8:2
tile,55,51,18,0.0,0.0,22,40.0,0.43,67.27,40.0,67.27,2.0909,29.2415,Q2:22|Q5:2|Q4:1
nose,239,218,20,2.93,1.26,22,9.21,0.43,34.31,6.55,31.44,3.2008,2.4377,Q2:9|Q1:7|Q3:4|Q5:2|Q4:1
bezel,42,35,15,4.76,2.38,20,47.62,0.39,88.1,46.15,87.18,2.4048,11.6767,Q5:12|Q3:7|Q2:4|Q1:2
knuckle,55,49,19,5.45,0.0,20,36.36,0.39,85.45,32.69,84.62,3.7091,4.6498,Q2:17|Q1:3|Q3:2
button,85,63,18,8.24,3.53,20,23.53,0.39,58.82,17.33,53.33,2.7412,4.4707,Q2:10|Q1:7|Q4:2|Q5:1|Q3:1
sidewalk,72,62,20,8.33,4.17,19,26.39,0.37,63.89,20.63,58.73,1.3194,28.9331,Q2:7|Q1:6|Q5:5|Q4:3|Q3:1
wire,52,51,18,1.92,1.92,18,34.62,0.35,69.23,34.0,68.0,2.0192,16.5712,Q2:11|Q5:8|Q4:4|Q3:2|Q1:1
sole,78,74,20,2.56,2.56,18,23.08,0.35,62.82,21.62,60.81,3.0256,5.9513,Q2:8|Q5:6|Q4:4|Q3:2|Q1:2
table,119,112,20,2.52,1.68,18,15.13,0.35,45.38,13.16,42.98,1.1261,44.9785,Q3:7|Q4:5|Q1:3|Q5:3|Q2:2
crust,36,34,18,5.56,5.56,17,47.22,0.33,86.11,46.88,84.38,2.3333,33.2764,Q3:8|Q5:7|Q2:2|Q4:2|Q1:2
book,37,31,17,10.81,2.7,17,45.95,0.33,75.68,40.62,71.88,1.6216,16.7757,Q2:9|Q1:4|Q4:3|Q3:3|Q5:2
cabinet,74,69,18,8.11,6.76,17,22.97,0.33,54.05,17.46,46.03,1.3514,29.5878,Q1:6|Q3:6|Q5:6|Q2:3|Q6:2
glass,85,77,19,4.71,0.0,17,20.0,0.33,52.94,16.05,50.62,1.9882,18.3512,Q2:4|Q1:4|Q5:3|Q6:3|Q7:2
bag,87,81,19,9.2,2.3,17,19.54,0.33,48.28,11.69,41.56,1.2874,15.1138,Q1:8|Q3:5|Q8:2|Q2:2|Q4:2
forehead,221,211,20,1.81,0.0,17,7.69,0.33,40.27,5.99,39.17,3.2398,5.0989,Q2:8|Q4:4|Q1:4|Q5:4|Q3:2
rail,43,36,17,13.95,2.33,16,37.21,0.31,76.74,27.78,72.22,2.4884,14.7363,Q2:8|Q1:6|Q4:5|Q3:3|Q5:2
car,91,88,20,3.3,1.1,16,17.58,0.31,42.86,14.94,40.23,1.1758,17.6266,Q2:8|Q1:3|Q5:3|Q7:2|Q4:2
shoe,134,116,20,2.24,0.0,16,11.94,0.31,47.01,9.92,45.8,2.0672,9.6039,Q2:12|Q3:4|Q1:3|Q5:1
flower,39,33,16,7.69,5.13,15,38.46,0.29,74.36,35.29,70.59,1.9231,17.76,Q2:11|Q1:3|Q4:2|Q5:1|Q3:1
snow,41,33,19,7.32,0.0,15,36.59,0.29,70.73,31.58,68.42,1.3902,48.2229,Q2:10|Q5:5|Q3:4|Q1:3|Q4:1
slat,48,38,17,6.25,0.0,15,31.25,0.29,62.5,26.67,60.0,2.8125,14.1333,Q2:9|Q3:4|Q1:3|Q5:2|Q4:1
wheel,162,134,20,1.23,3.7,15,9.26,0.29,40.74,8.44,37.66,2.1173,7.0041,Q2:8|Q5:4|Q8:4|Q1:2
seam,37,34,18,21.62,2.7,14,37.84,0.27,62.16,21.43,50.0,3.2432,4.6311,Q1:8|Q2:3|Q5:2|Q4:1
lettering,51,40,15,0.0,0.0,14,27.45,0.27,58.82,27.45,58.82,2.9804,9.4812,Q2:6|Q5:4|Q6:3|Q4:3|Q8:1
hem,78,75,20,7.69,1.28,14,17.95,0.27,50.0,11.27,45.07,3.1795,4.0518,Q1:6|Q2:5|Q5:2|Q4:1|Q3:1
floor,145,139,20,2.76,0.0,14,9.66,0.27,35.86,7.09,34.04,1.2,27.3811,Q2:6|Q1:4|Q5:3|Q4:1|Q3:1
brick,26,24,13,0.0,7.69,13,50.0,0.25,76.92,54.17,75.0,2.7692,10.8538,Q2:12|Q3:1|Q8:1
surface,31,30,15,3.23,0.0,13,41.94,0.25,77.42,40.0,76.67,2.1935,30.2139,Q2:10|Q5:2|Q4:1|Q1:1
bracket,35,33,17,25.71,8.57,13,37.14,0.25,71.43,17.39,56.52,2.4857,8.7006,Q1:9|Q2:3|Q3:2|Q5:1
pavement,44,44,19,4.55,2.27,13,29.55,0.25,59.09,26.83,56.1,1.75,29.8045,Q5:7|Q2:5|Q8:2|Q1:2
dirt,46,44,20,4.35,2.17,13,28.26,0.25,58.7,25.58,55.81,1.6522,45.1741,Q2:5|Q8:4|Q1:2|Q3:2|Q4:2
light,53,48,20,7.55,1.89,13,24.53,0.25,49.06,18.75,43.75,1.8302,11.1419,Q2:6|Q1:4|Q4:2|Q5:1
track,36,26,15,11.11,0.0,12,33.33,0.23,69.44,25.0,65.62,1.4722,23.3711,Q2:6|Q1:4|Q5:3|Q4:2
line,41,37,16,2.44,0.0,12,29.27,0.23,73.17,27.5,72.5,1.9756,27.6946,Q2:10|Q5:2|Q4:2|Q1:1
cable,43,35,18,4.65,0.0,12,27.91,0.23,72.09,24.39,70.73,1.7442,15.8379,Q2:8|Q5:4|Q4:3|Q1:2|Q3:1
column,49,44,18,8.16,4.08,12,24.49,0.23,53.06,18.6,46.51,2.3469,11.9069,Q2:7|Q1:4|Q3:1|Q5:1
lamp,58,55,18,6.9,3.45,12,20.69,0.23,46.55,15.38,40.38,1.5,7.7995,Q8:7|Q1:4|Q5:1
logo,137,109,20,2.92,3.65,12,8.76,0.23,37.96,6.25,33.59,2.9635,4.6433,Q2:6|Q1:4|Q5:2|Q8:1
grout,21,20,14,0.0,0.0,11,52.38,0.21,90.48,52.38,90.48,2.0,17.6362,Q2:10|Q5:3|Q3:2|Q4:1
handrail,26,21,14,23.08,3.85,11,42.31,0.21,84.62,26.32,78.95,2.3846,9.6635,Q1:6|Q2:2|Q5:1|Q3:1|Q4:1
handlebar,30,29,15,10.0,0.0,11,36.67,0.21,70.0,29.63,66.67,2.1,2.0287,Q2:4|Q1:3|Q5:3|Q3:3
balcony,35,32,15,11.43,2.86,11,31.43,0.21,60.0,23.33,53.33,2.2857,7.9391,Q1:4|Q2:4|Q5:2|Q3:1|Q4:1
pillow,37,34,17,18.92,0.0,11,29.73,0.21,48.65,13.33,36.67,1.4595,22.1416,Q1:7|Q5:3|Q2:2|Q3:1|Q4:1
sill,39,34,17,10.26,5.13,11,28.21,0.21,58.97,21.21,51.52,2.6923,12.4713,Q2:6|Q1:4|Q5:1
molding,45,39,18,2.22,2.22,11,24.44,0.21,64.44,23.26,62.79,2.4,21.6291,Q5:6|Q2:4|Q4:1|Q3:1|Q1:1
shrub,46,41,19,0.0,0.0,11,23.91,0.21,63.04,23.91,63.04,1.4565,14.9946,Q2:11|Q4:1|Q5:1
chin,59,58,19,0.0,1.69,11,18.64,0.21,54.24,18.97,53.45,3.2542,0.7547,Q2:8|Q4:2|Q3:1|Q5:1
hood,66,61,20,6.06,1.52,11,16.67,0.21,45.45,11.48,40.98,2.6061,5.4418,Q3:5|Q1:4|Q2:2|Q4:1|Q5:1
mirror,68,61,18,2.94,1.47,11,16.18,0.21,51.47,13.85,49.23,1.6765,11.4354,Q2:7|Q5:3|Q1:2|Q3:1|Q6:1
cap,105,99,20,5.71,0.95,11,10.48,0.21,40.95,5.1,36.73,2.5143,6.786,Q1:6|Q2:2|Q5:2|Q6:1|Q8:1
mullion,13,13,8,46.15,7.69,10,76.92,0.19,100.0,66.67,100.0,3.2308,4.8562,Q1:6|Q2:4
cushion,38,31,17,5.26,0.0,10,26.32,0.19,55.26,22.22,52.78,2.1316,17.8711,Q2:3|Q3:2|Q1:2|Q4:2|Q5:1
backrest,60,57,18,0.0,0.0,10,16.67,0.19,53.33,16.67,53.33,2.1167,17.4515,Q2:4|Q3:4|Q4:2|Q5:2
chair,75,74,18,0.0,1.33,10,13.33,0.19,42.67,13.51,41.89,1.0933,20.846,Q5:4|Q4:3|Q2:3|Q3:1|Q8:1
plate,82,78,18,6.1,0.0,10,12.2,0.19,34.15,6.49,29.87,1.2439,45.7429,Q1:5|Q2:3|Q5:2
lid,95,81,20,6.32,2.11,10,10.53,0.19,36.84,4.6,31.03,2.2947,9.0496,Q1:6|Q2:2|Q5:2|Q3:1
pants,138,124,20,0.0,0.0,10,7.25,0.19,42.75,7.25,42.75,2.0797,16.8195,Q2:5|Q4:2|Q3:1|Q7:1|Q5:1
counter,17,14,11,29.41,11.76,9,52.94,0.17,70.59,40.0,50.0,1.4706,22.8041,Q1:5|Q3:2|Q4:2|Q8:1
skin,24,22,12,4.17,4.17,9,37.5,0.17,62.5,36.36,59.09,2.6667,12.7171,Q2:7|Q3:3|Q5:2|Q1:1|Q4:1
tray,28,26,13,14.29,3.57,9,32.14,0.17,60.71,21.74,52.17,1.5,24.2354,Q3:4|Q1:4|Q2:3|Q4:1
mesh,28,25,15,7.14,0.0,9,32.14,0.17,67.86,26.92,65.38,2.2857,22.0218,Q2:7|Q3:3|Q1:2|Q6:1|Q4:1
beam,29,27,17,17.24,3.45,9,31.03,0.17,68.97,17.39,60.87,2.4483,14.8866,Q1:5|Q2:4|Q4:1|Q5:1
shoulder,33,32,17,21.21,0.0,9,27.27,0.17,72.73,7.69,65.38,2.7273,3.9712,Q1:7|Q2:2|Q4:1|Q5:1
hinge,34,31,16,5.88,2.94,9,26.47,0.17,55.88,22.58,51.61,2.2647,4.4544,Q2:3|Q1:2|Q3:2|Q5:1|Q4:1
